Team,Year,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Ottawa Senators,2003,82,3.2,432,694,80,21.6,6,2421,10.8,1270,83.6,0,0,0.0
Philadelphia Flyers,2003,82,2.79,403,632,65,20.7,7,2411,9.5,1357,83.3,0,0,0.0
Pittsburgh Penguins,2003,82,2.32,332,522,65,18.1,7,2029,9.4,1270,77.2,0,0,0.0
San Jose Sharks,2003,82,2.67,376,595,56,16.6,9,2300,9.5,1091,85.3,0,0,0.0
St. Louis Blues,2003,82,2.33,323,514,61,17.9,7,2223,8.6,1274,84.5,0,0,0.0
Tampa Bay Lightning,2003,82,2.99,415,660,55,16.3,15,2460,10.0,985,84.8,0,0,0.0
Toronto Maple Leafs,2003,82,2.95,423,665,75,20.1,8,2253,10.7,1452,83.4,0,0,0.0
Vancouver Canucks,2003,82,2.87,410,645,56,15.0,5,2379,9.9,1274,86.0,0,0,0.0
Washington Capitals,2003,82,2.27,318,504,64,19.2,4,1946,9.6,1282,81.3,0,0,0.0
Anaheim Mighty Ducks,2002,82,2.48,355,558,56,16.1,8,2246,9.0,954,87.4,0,0,0.0
Atlanta Thrashers,2002,82,2.76,365,591,64,17.3,8,2163,10.4,1253,81.7,0,0,0.0
Boston Bruins,2002,82,2.99,409,654,59,18.2,10,2636,9.3,1370,82.7,0,0,0.0
Buffalo Sabres,2002,82,2.32,324,514,51,14.4,8,2345,8.1,1276,85.4,0,0,0.0
Calgary Flames,2002,82,2.27,315,501,47,12.1,5,2341,7.9,1391,83.3,0,0,0.0
Carolina Hurricanes,2002,82,2.09,286,457,58,13.8,6,2414,7.1,1208,81.9,0,0,0.0
Chicago Blackhawks,2002,82,2.52,349,556,39,12.7,8,2279,9.1,1189,84.8,0,0,0.0
Colorado Avalanche,2002,82,3.06,448,699,68,18.7,5,2386,10.5,1084,82.5,0,0,0.0
Columbus Blue Jackets,2002,82,2.6,362,575,71,17.3,12,2143,9.9,1505,85.3,0,0,0.0
Dallas Stars,2002,82,2.99,416,661,62,19.0,9,2466,9.9,1166,85.5,0,0,0.0
Detroit Red Wings,2002,82,3.28,459,728,76,23.8,11,2441,11.0,1214,85.4,0,0,0.0
Edmonton Oilers,2002,82,2.82,398,629,56,14.5,13,2293,10.1,1203,82.6,0,0,0.0
Florida Panthers,2002,82,2.15,286,462,49,14.1,7,2229,7.9,1127,81.5,0,0,0.0
Los Angeles Kings,2002,82,2.48,341,544,52,14.6,8,2272,8.9,1146,83.3,0,0,0.0
Minnesota Wild,2002,82,2.41,327,525,52,14.2,9,2086,9.5,1063,86.0,0,0,0.0
Montreal Canadiens,2002,82,2.51,347,553,44,14.0,2,2119,9.7,900,81.7,0,0,0.0
Nashville Predators,2002,82,2.23,303,486,58,13.9,2,2316,7.9,969,82.7,0,0,0.0
New Jersey Devils,2002,82,2.63,368,584,36,11.9,7,2601,8.3,938,87.9,0,0,0.0
