Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Kevin Shattenkirk,D,61,6,18,24,-2,18,15:46,2,9,78,7.7,1266,0,0,0,0.0,1,1,100.0
Tomas Tatar,LW,70,9,15,24,8,20,12:27,0,1,72,12.5,1217,2,5,15,25.0,3,1,33.3
Jeff Petry,D,73,3,21,24,-7,39,18:47,0,0,84,3.6,1761,0,0,0,0.0,0,0,0.0
David Savard,D,60,6,18,24,-1,24,20:14,0,0,54,11.1,1323,0,0,0,0.0,0,0,0.0
Evgeny Kuznetsov,C,63,8,16,24,-11,30,17:33,1,6,96,8.3,1327,1,336,411,45.0,8,3,37.5
Mike Reilly,D,61,6,18,24,-1,30,17:09,0,5,126,4.8,1423,1,0,0,0.0,0,0,0.0
Sam Lafferty,C,79,13,11,24,4,32,11:52,0,0,78,16.7,1376,3,150,206,42.1,0,0,0.0
Sam Steel,C,77,9,15,24,0,29,13:14,0,0,86,10.5,1336,1,94,115,45.0,0,0,0.0
Martin Pospisil,C,63,8,16,24,14,107,12:43,0,0,117,6.8,1140,1,23,28,45.1,0,0,0.0
Nick Perbix,D,77,2,22,24,8,10,17:04,0,0,57,3.5,1744,1,0,0,0.0,0,0,0.0
Pavel Dorofeyev,LW,47,13,11,24,8,12,13:16,0,1,97,13.4,770,1,2,2,50.0,0,0,0.0
Jordan Spence,D,71,2,22,24,5,12,14:25,1,5,80,2.5,1207,0,0,0,0.0,0,0,0.0
Bobby McMann,C,56,15,9,24,13,52,11:33,1,0,118,12.7,868,0,6,4,60.0,0,0,0.0
Cole Smith,RW,80,9,14,23,5,63,13:41,0,0,112,8.0,1583,4,5,12,29.4,0,0,0.0
Timothy Liljegren,D,55,3,20,23,3,16,19:39,0,7,62,4.8,1454,1,0,0,0.0,0,0,0.0
Filip Zadina,RW,72,13,10,23,-44,18,13:20,3,1,137,9.5,1200,3,15,53,22.1,2,0,0.0
Rasmus Sandin,D,68,3,20,23,-13,24,21:07,0,5,79,3.8,1680,1,0,0,0.0,0,0,0.0
Bobby Brink,RW,57,11,12,23,1,10,13:47,3,2,81,13.6,1005,2,4,3,57.1,4,1,25.0
Alex Laferriere,RW,81,12,11,23,-14,46,13:13,0,3,147,8.2,1366,2,7,6,53.8,1,0,0.0
Max Pacioretty,LW,47,4,19,23,-14,25,14:26,2,9,95,4.2,886,0,5,12,29.4,0,0,0.0
Evgenii Dadonov,RW,51,12,11,23,-6,8,13:10,1,1,67,17.9,874,3,0,4,0.0,0,0,0.0
