Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Will Cherry,F,8,8.6,1.9,0.6,2.4,26.3,0.3,1.1,22.2,0.4,0.8,50.0,0.6,1.0,0.8,0.1,0.5,0,0
Reggie Williams,SF,20,5.3,1.9,0.8,2.0,38.5,0.2,1.0,15.8,0.2,0.2,100.0,0.9,0.5,0.1,0.0,0.1,0,0
Jared Cunningham,G,19,4.7,1.8,0.6,1.7,36.4,0.2,0.7,30.8,0.4,0.7,53.8,0.5,0.5,0.2,0.0,0.4,0,0
Kenyon Martin,F,11,9.5,1.8,0.8,2.0,40.9,0.0,0.0,0.0,0.2,0.2,100.0,1.7,0.5,0.5,0.5,0.3,0,0
Steve Novak,SF,35,5.6,1.8,0.6,1.6,39.3,0.5,1.4,39.6,0.0,0.1,0.0,0.6,0.3,0.0,0.1,0.1,0,0
Joel Anthony,C,49,8.3,1.8,0.7,1.3,58.1,0.0,0.0,0.0,0.3,0.4,68.2,1.9,0.1,0.2,1.0,0.2,0,0
Landry Fields,SG,26,8.3,1.8,0.8,1.6,48.8,0.0,0.1,50.0,0.2,0.2,83.3,1.0,0.6,0.4,0.0,0.3,0,0
Zoran Dragic,SG,16,4.7,1.8,0.7,1.9,36.7,0.2,0.9,21.4,0.2,0.3,60.0,0.5,0.3,0.1,0.0,0.3,0,0
Chuck Hayes,PF,29,8.8,1.7,0.8,1.6,47.8,0.0,0.0,0.0,0.2,0.4,54.5,1.8,0.7,0.3,0.1,0.3,0,0
Jack Cooley,F,16,5.4,1.7,0.6,1.4,40.9,0.0,0.0,0.0,0.6,1.3,42.9,1.6,0.1,0.4,0.2,0.2,0,0
Miroslav Raduljica,C,5,4.6,1.6,0.6,1.6,37.5,0.0,0.0,0.0,0.4,0.4,100.0,1.0,0.0,0.2,0.0,0.4,0,0
Brendan Haywood,C,22,5.4,1.6,0.6,1.4,46.7,0.0,0.0,0.0,0.3,0.6,53.8,1.3,0.1,0.1,0.5,0.5,0,0
Chris Douglas-Roberts,SG,12,8.6,1.6,0.4,1.8,23.8,0.1,0.6,14.3,0.7,0.7,100.0,1.0,0.3,0.1,0.0,0.0,0,0
Cartier Martin,PF,23,8.6,1.6,0.7,2.3,28.3,0.3,1.4,18.2,0.0,0.0,0.0,0.9,0.5,0.1,0.0,0.2,0,0
Jerel McNeal,SG,6,6.0,1.5,0.5,1.8,27.3,0.2,0.3,50.0,0.3,0.3,100.0,0.5,0.3,0.5,0.2,0.8,0,0
Gal Mekel,PG,4,10.8,1.5,0.8,5.0,15.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,3.3,0.5,0.0,0.5,0,0
Patrick Christopher,SG,4,7.3,1.5,0.8,3.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.3,0.0,0.3,0,0
Ognjen Kuzmic,C,16,4.5,1.3,0.5,0.8,66.7,0.0,0.0,0.0,0.3,0.3,100.0,1.1,0.4,0.1,0.1,0.3,0,0
Bruno Caboclo,F,8,2.9,1.3,0.5,1.5,33.3,0.3,0.4,66.7,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.5,0,0
Toure' Murry,SF,5,3.6,1.2,0.4,1.0,40.0,0.0,0.0,0.0,0.4,0.4,100.0,0.2,0.2,0.2,0.0,0.8,0,0
Nazr Mohammed,C,23,5.6,1.2,0.6,1.3,43.3,0.0,0.0,0.0,0.0,0.1,33.3,1.7,0.1,0.2,0.2,0.3,0,0
Shavlik Randolph,PF,21,6.0,1.1,0.4,1.7,25.7,0.0,0.2,0.0,0.3,0.6,50.0,1.8,0.2,0.2,0.1,0.1,0,0
Gerald Wallace,SF,32,8.9,1.1,0.4,1.1,41.2,0.0,0.1,33.3,0.2,0.5,40.0,1.8,0.3,0.5,0.1,0.6,0,0
Jamaal Franklin,SG,3,4.3,1.0,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.7,1.0,0.0,0.3,1.0,0,0
Lucas Nogueira,C,6,3.8,1.0,0.3,1.3,25.0,0.0,0.0,0.0,0.3,0.7,50.0,1.8,0.2,0.3,0.0,0.3,0,0
Brandon Rush,F,33,8.2,0.9,0.3,1.6,20.4,0.1,0.8,11.1,0.2,0.3,45.5,1.2,0.4,0.2,0.4,0.3,0,0
Ekpe Udoh,F,33,3.9,0.9,0.3,0.7,45.8,0.0,0.0,0.0,0.2,0.3,77.8,0.8,0.2,0.2,0.2,0.2,0,0
Greg Stiemsma,C,17,3.9,0.8,0.4,0.5,75.0,0.0,0.0,0.0,0.1,0.2,50.0,0.9,0.2,0.1,0.0,0.4,0,0
Alex Kirk,C,5,2.8,0.8,0.2,0.8,25.0,0.0,0.0,0.0,0.4,0.4,100.0,0.2,0.2,0.0,0.0,0.0,0,0
Andre Dawkins,SG,4,5.5,0.8,0.3,1.5,16.7,0.3,1.5,16.7,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.3,0,0
Eric Moreland,C,3,0.7,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0,0
Sim Bhullar,C,3,1.0,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0,0
Dahntay Jones,SG,33,3.7,0.6,0.2,0.6,28.6,0.0,0.1,0.0,0.3,0.3,81.8,0.3,0.1,0.1,0.0,0.0,0,0
Cameron Bairstow,PF,18,3.6,0.6,0.2,0.8,21.4,0.0,0.0,0.0,0.2,0.3,80.0,0.4,0.1,0.1,0.1,0.2,0,0
Andrei Kirilenko,SF,7,5.1,0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.4,0.6,75.0,1.1,0.1,0.1,0.0,0.1,0,0
Darius Miller,SF,5,8.6,0.4,0.2,1.4,14.3,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.2,0,0
