Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Julien Gauthier,RW,57,9,5,14,-6,6,8:38,0,0,53,17.0,702,0,3,5,37.5,0,0,0.0
Jalen Chatfield,D,78,6,8,14,23,35,14:07,0,0,93,6.5,1472,2,0,0,0.0,0,0,0.0
Gavin Bayreuther,D,51,2,12,14,-18,23,15:56,0,1,61,3.3,1062,0,0,0,0.0,0,0,0.0
Ryan Poehling,C,53,7,7,14,-2,8,11:46,0,0,64,10.9,978,0,186,225,45.3,0,0,0.0
Conor Timmins,D,27,2,12,14,-1,8,15:05,0,4,19,10.5,548,1,0,0,0.0,0,0,0.0
Ilya Lyubushkin,D,68,2,12,14,-2,38,15:00,0,0,41,4.9,1469,1,0,0,0.0,0,0,0.0
Liam Foudy,C,62,7,7,14,-26,8,12:08,0,0,67,10.4,984,0,3,6,33.3,0,0,0.0
Isac Lundestrom,C,61,4,10,14,-13,2,14:20,0,0,60,6.7,1201,0,286,316,47.5,0,0,0.0
Axel Jonsson-Fjallby,LW,50,6,8,14,-1,8,10:27,0,0,54,11.1,754,2,1,4,20.0,0,0,0.0
Nick Blankenburg,D,36,4,10,14,-16,16,19:10,0,4,50,8.0,899,1,0,0,0.0,0,0,0.0
Sam Gagner,C,48,8,6,14,-4,13,12:10,1,2,78,10.3,789,2,14,32,30.4,0,0,0.0
Pat Maroon,LW,80,5,9,14,-5,150,10:20,0,1,62,8.1,1086,0,2,10,16.7,0,0,0.0
Alec Martinez,D,77,3,11,14,30,29,19:13,0,0,76,3.9,1819,2,0,0,0.0,0,0,0.0
TJ Brodie,D,58,2,12,14,10,14,21:13,0,0,58,3.4,1497,0,0,0,0.0,0,0,0.0
Brendan Gallagher,RW,37,8,6,14,-5,45,14:16,0,2,93,8.6,630,2,6,11,35.3,0,0,0.0
Joel Armia,RW,43,7,7,14,-7,22,14:56,0,1,69,10.1,783,0,3,6,33.3,0,0,0.0
Jonas Brodin,D,60,3,11,14,13,30,22:51,0,0,90,3.3,1500,0,0,0,0.0,0,0,0.0
Nick Seeler,D,77,4,10,14,1,56,14:29,0,0,84,4.8,1574,0,0,0,0.0,0,0,0.0
